type,latitude,longitude,alt,speed,course
T,50.905953,-114.030178,1037.300000,0.660000,152.090000
T,50.905948,-114.030178,1037.300000,0.650000,179.060000
T,50.905948,-114.030178,1037.300000,0.650000,179.060000
T,50.905948,-114.030178,1037.300000,0.650000,179.060000
T,50.905948,-114.030178,1037.300000,0.650000,179.060000
T,50.905948,-114.030178,1037.300000,0.650000,179.060000
T,50.905948,-114.030178,1037.300000,0.650000,179.060000
T,50.905948,-114.030178,1037.300000,0.650000,179.060000
T,50.905948,-114.030178,1037.300000,0.650000,179.060000
T,50.905948,-114.030178,1037.400000,0.650000,179.060000
T,50.905947,-114.030180,1037.400000,0.310000,179.060000
T,50.905947,-114.030180,1037.400000,0.310000,179.060000
T,50.905947,-114.030180,1037.400000,0.310000,179.060000
T,50.905947,-114.030180,1037.400000,0.310000,179.060000
T,50.905947,-114.030180,1037.400000,0.310000,179.060000
T,50.905947,-114.030180,1037.400000,0.310000,179.060000
T,50.905947,-114.030180,1037.400000,0.310000,179.060000
T,50.905947,-114.030180,1037.500000,0.310000,179.060000
T,50.905947,-114.030180,1037.500000,0.310000,179.060000
T,50.905937,-114.030173,1037.500000,0.310000,179.060000
T,50.905937,-114.030173,1037.500000,0.310000,179.060000
T,50.905937,-114.030173,1037.500000,0.310000,179.060000
T,50.905937,-114.030173,1037.500000,0.310000,179.060000
T,50.905937,-114.030173,1037.500000,0.310000,179.060000
T,50.905937,-114.030173,1037.500000,0.310000,179.060000
T,50.905937,-114.030173,1037.500000,0.310000,179.060000
T,50.905937,-114.030173,1037.500000,0.310000,179.060000
T,50.905937,-114.030173,1037.500000,0.310000,179.060000
T,50.905937,-114.030173,1037.500000,0.310000,179.060000
T,50.905928,-114.030170,1037.500000,0.380000,179.060000
T,50.905928,-114.030170,1037.500000,0.380000,179.060000
T,50.905928,-114.030170,1037.500000,0.380000,179.060000
T,50.905928,-114.030170,1037.500000,0.380000,179.060000
T,50.905928,-114.030170,1037.500000,0.380000,179.060000
T,50.905928,-114.030170,1037.500000,0.380000,179.060000
T,50.905928,-114.030170,1037.500000,0.380000,179.060000
T,50.905928,-114.030170,1037.500000,0.380000,179.060000
T,50.905920,-114.030168,1037.500000,0.540000,179.060000
T,50.905920,-114.030168,1037.500000,0.540000,179.060000
T,50.905920,-114.030168,1037.500000,0.540000,179.060000
T,50.905920,-114.030168,1037.500000,0.540000,179.060000
T,50.905920,-114.030168,1037.500000,0.540000,179.060000
T,50.905920,-114.030168,1037.500000,0.540000,179.060000
T,50.905880,-114.030163,1036.400000,0.690000,272.590000
T,50.905880,-114.030163,1036.400000,0.690000,272.590000
T,50.905880,-114.030163,1036.400000,0.690000,272.590000
T,50.905880,-114.030163,1036.400000,0.690000,272.590000
T,50.905880,-114.030163,1036.400000,0.690000,272.590000
T,50.905880,-114.030167,1036.400000,0.690000,313.710000
T,50.905880,-114.030167,1036.400000,0.690000,313.710000
T,50.905880,-114.030167,1036.400000,0.690000,313.710000
T,50.905880,-114.030167,1036.400000,0.690000,313.710000
T,50.905880,-114.030167,1036.400000,0.690000,313.710000
T,50.905880,-114.030167,1036.400000,0.690000,313.710000
T,50.905880,-114.030167,1036.400000,0.690000,313.710000
T,50.905880,-114.030167,1036.400000,0.690000,313.710000
T,50.905880,-114.030167,1036.300000,0.690000,313.710000
T,50.905872,-114.030165,1036.300000,0.200000,313.710000
T,50.905872,-114.030165,1036.300000,0.200000,313.710000
T,50.905872,-114.030165,1036.300000,0.200000,313.710000
T,50.905872,-114.030165,1036.300000,0.200000,313.710000
T,50.905872,-114.030165,1036.300000,0.200000,313.710000
T,50.905872,-114.030165,1036.300000,0.200000,313.710000
T,50.905872,-114.030165,1036.300000,0.200000,313.710000
T,50.905872,-114.030165,1036.300000,0.200000,313.710000
T,50.905868,-114.030158,1036.500000,0.210000,313.710000
T,50.905868,-114.030158,1036.500000,0.210000,313.710000
T,50.905868,-114.030158,1036.500000,0.210000,313.710000
T,50.905868,-114.030158,1036.500000,0.210000,313.710000
T,50.905868,-114.030158,1036.500000,0.210000,313.710000
T,50.905868,-114.030158,1036.500000,0.210000,313.710000
T,50.905868,-114.030158,1036.500000,0.210000,313.710000
T,50.905868,-114.030158,1036.500000,0.210000,313.710000
T,50.905868,-114.030158,1036.500000,0.210000,313.710000
T,50.905868,-114.030158,1036.600000,0.210000,313.710000
T,50.905868,-114.030158,1036.600000,0.210000,313.710000
T,50.905868,-114.030158,1036.600000,0.210000,313.710000
T,50.905863,-114.030153,1036.600000,0.790000,174.380000
T,50.905863,-114.030153,1036.600000,0.790000,174.380000
T,50.905863,-114.030153,1036.600000,0.790000,174.380000
T,50.905863,-114.030153,1036.600000,0.790000,174.380000
T,50.905863,-114.030153,1036.600000,0.790000,174.380000
T,50.905863,-114.030153,1036.600000,0.790000,174.380000
T,50.905863,-114.030153,1036.700000,0.790000,174.380000
